,Company_Brand,Sector,Stage,Amount($),HeadQuarter,Year
254,Meesho,Commerce,Series C,50000000.0,Bangalore,2018
255,BhaskarGuru,Technology,Pre-series A,1000000.0,Bhopal,2018
256,Gugu,Transport,Pre-series A,250000.0,Coimbatore,2018
257,Vizzbee,Commerce,Pre-series A,20000.0,Bhopal,2018
258,BIGPHI TECHNOLOGIES PVT. LTD.,Beauty & Fashion,Angel Round,900000.0,Bangalore,2018
259,GamingMonk,Sports,Series A,588000.0,New Delhi,2018
260,INDwealth,Finance,Pre-series A,32340000.0,Gurgaon,2018
261,Medikabazaar,Commerce,Series A,5000000.0,Mumbai,2018
262,NIRA,Finance,Pre-series A,1000000.0,Bangalore,2018
263,Duroflex Pvt. Ltd.,Commerce,Equity,22000000.0,Alleppey,2018
264,Jetbrain Robotics,Hospitality,Pre-series A,70000.0,Gurgaon,2018
265,Indiabulls Ventures,Finance,Equity,226262400.0,Mumbai,2018
266,Vistara,Transport,Equity,294000000.0,Haryana,2018
267,ClearTax,Finance,Series B,58800000.0,New Delhi,2018
268,Shuttl,Transport,Debt,1000000.0,Gurgaon,2018
269,GuruQ,Technology,Pre-series A,367500.0,New Delhi,2018
270,Azure Power,Energy,Equity,185000000.0,New Delhi,2018
271,Cube,Finance,Series A,2058000.0,Mumbai,2018
272,LetsMD,LifeStyle,Pre-series A,1000000.0,New Delhi,2018
273,Twenty Two Motors,Transport,Corporate Round,65000000.0,Haryana,2018
274,Truebil,Transport,Series A,2000000.0,Mumbai,2018
275,Worxogo,Technology,Series A,2425500.0,Bangalore,2018
276,Vivish Technologies (myGate),Business Intelligence,Series A,9555000.0,Bangalore,2018
277,Virtual MetalStreet(MetalStreet),Commerce,Angel Round,700000.0,Bangalore,2018
278,Innov8 Coworking,Business Intelligence,Pre-series A,4000000.0,New Delhi,2018
279,Blackbuck,Transport,Series D,29835120.0,Bangalore,2018
280,Cardekho,Transport,Series C,75000000.0,Gurgaon,2018
281,ElasticRun,Transport,Series B,8820000.0,Pune,2018
282,Droom Technology Private Limited,Transport,Series E,30000000.0,Gurgaon,2018
